time,open,high,low,close
2019-12-31 19:00:00,83.825,83.829,83.658,83.66
2019-12-31 20:00:00,83.66,83.762,83.656,83.71
2019-12-31 21:00:00,83.705,83.715,83.621,83.655
2019-12-31 22:00:00,83.655,83.702,83.638,83.672
2020-01-02 06:00:00,83.691,83.712,83.67,83.686
2020-01-02 07:00:00,83.686,83.707,83.66,83.704
2020-01-02 08:00:00,83.705,83.736,83.698,83.706
2020-01-02 09:00:00,83.709,83.809,83.69,83.761
2020-01-02 10:00:00,83.763,83.884,83.746,83.844
2020-01-02 11:00:00,83.842,83.9,83.799,83.834
2020-01-02 12:00:00,83.834,83.849,83.715,83.741
2020-01-02 13:00:00,83.741,83.747,83.619,83.635
2020-01-02 14:00:00,83.635,83.743,83.61,83.722
2020-01-02 15:00:00,83.718,83.72,83.578,83.645
2020-01-02 16:00:00,83.645,83.681,83.558,83.604
2020-01-02 17:00:00,83.604,83.62,83.315,83.415
2020-01-02 18:00:00,83.415,83.458,83.37,83.412
2020-01-02 19:00:00,83.412,83.53,83.399,83.495
2020-01-02 20:00:00,83.499,83.533,83.466,83.523
2020-01-02 21:00:00,83.524,83.6,83.518,83.55
2020-01-02 22:00:00,83.55,83.578,83.52,83.577
2020-01-02 23:00:00,83.577,83.614,83.536,83.614
2020-01-03 00:00:00,83.588,83.612,83.506,83.57
2020-01-03 01:00:00,83.57,83.652,83.566,83.587
2020-01-03 02:00:00,83.587,83.598,83.474,83.484
2020-01-03 03:00:00,83.482,83.524,83.321,83.335
2020-01-03 04:00:00,83.335,83.368,83.14,83.185
2020-01-03 05:00:00,83.185,83.246,83.092,83.246
2020-01-03 06:00:00,83.246,83.29,83.206,83.211
2020-01-03 07:00:00,83.212,83.228,83.141,83.195
2020-01-03 08:00:00,83.195,83.272,83.164,83.262
2020-01-03 09:00:00,83.262,83.276,83.127,83.257
2020-01-03 10:00:00,83.257,83.317,83.141,83.242
2020-01-03 11:00:00,83.244,83.268,83.151,83.223
2020-01-03 12:00:00,83.222,83.28,83.149,83.189
2020-01-03 13:00:00,83.188,83.248,83.05,83.075
2020-01-03 14:00:00,83.075,83.212,83.057,83.167
2020-01-03 15:00:00,83.176,83.356,83.176,83.247
2020-01-03 16:00:00,83.244,83.35,83.231,83.258
2020-01-03 17:00:00,83.245,83.273,83.089,83.215
2020-01-03 18:00:00,83.215,83.217,83.104,83.12
2020-01-03 19:00:00,83.12,83.164,83.076,83.142
2020-01-03 20:00:00,83.142,83.167,82.977,83.141
2020-01-03 21:00:00,83.141,83.175,83.102,83.129
2020-01-03 22:00:00,83.13,83.225,83.124,83.209
2020-01-03 23:00:00,83.209,83.242,83.138,83.141
2020-01-06 00:00:00,83.029,83.089,82.973,82.975
2020-01-06 01:00:00,82.975,83.12,82.964,83.109
2020-01-06 02:00:00,83.109,83.299,83.104,83.249
2020-01-06 03:00:00,83.249,83.265,83.118,83.146
2020-01-06 04:00:00,83.146,83.251,83.132,83.229
2020-01-06 05:00:00,83.229,83.266,83.211,83.251
2020-01-06 06:00:00,83.251,83.299,83.226,83.27
2020-01-06 07:00:00,83.269,83.277,83.233,83.259
2020-01-06 08:00:00,83.261,83.271,83.173,83.245
2020-01-06 09:00:00,83.247,83.336,83.206,83.275
2020-01-06 10:00:00,83.274,83.303,83.12,83.177
2020-01-06 11:00:00,83.177,83.289,83.174,83.267
2020-01-06 12:00:00,83.267,83.314,83.253,83.255
2020-01-06 13:00:00,83.255,83.351,83.236,83.281
2020-01-06 14:00:00,83.281,83.404,83.241,83.389
2020-01-06 15:00:00,83.389,83.394,83.277,83.349
2020-01-06 16:00:00,83.349,83.349,83.217,83.245
2020-01-06 17:00:00,83.245,83.518,83.237,83.486
2020-01-06 18:00:00,83.486,83.601,83.459,83.576
2020-01-06 19:00:00,83.576,83.599,83.553,83.558
2020-01-06 20:00:00,83.556,83.601,83.547,83.562
2020-01-06 21:00:00,83.562,83.675,83.539,83.644
2020-01-06 22:00:00,83.643,83.654,83.588,83.641
2020-01-06 23:00:00,83.641,83.651,83.571,83.573
2020-01-07 00:00:00,83.574,83.6,83.473,83.573
2020-01-07 01:00:00,83.573,83.625,83.572,83.614
2020-01-07 02:00:00,83.614,83.673,83.593,83.65
2020-01-07 03:00:00,83.651,83.675,83.606,83.647
2020-01-07 04:00:00,83.648,83.689,83.63,83.647
2020-01-07 05:00:00,83.647,83.677,83.63,83.653
2020-01-07 06:00:00,83.653,83.692,83.639,83.666
2020-01-07 07:00:00,83.666,83.678,83.597,83.599
2020-01-07 08:00:00,83.597,83.626,83.53,83.597
2020-01-07 09:00:00,83.6,83.623,83.443,83.469
2020-01-07 10:00:00,83.471,83.724,83.456,83.666
2020-01-07 11:00:00,83.665,83.71,83.546,83.617
2020-01-07 12:00:00,83.615,83.627,83.464,83.508
2020-01-07 13:00:00,83.508,83.53,83.462,83.478
2020-01-07 14:00:00,83.478,83.538,83.432,83.444
2020-01-07 15:00:00,83.444,83.523,83.324,83.362
2020-01-07 16:00:00,83.361,83.398,83.173,83.256
2020-01-07 17:00:00,83.262,83.452,83.248,83.442
2020-01-07 18:00:00,83.442,83.458,83.365,83.374
2020-01-07 19:00:00,83.374,83.422,83.36,83.403
2020-01-07 20:00:00,83.403,83.467,83.402,83.458
2020-01-07 21:00:00,83.458,83.474,83.431,83.443
2020-01-07 22:00:00,83.443,83.481,83.416,83.455
2020-01-07 23:00:00,83.455,83.457,83.294,83.371
2020-01-08 00:00:00,83.327,83.442,83.322,83.395
2020-01-08 01:00:00,83.395,83.413,82.89,83.054
2020-01-08 02:00:00,83.057,83.109,82.794,82.989
2020-01-08 03:00:00,82.989,83.263,82.937,83.199
2020-01-08 04:00:00,83.199,83.545,83.175,83.467
