time,open,high,low,close
2023-01-02 07:00:00,82.821,82.823,82.793,82.823
2023-01-02 07:15:00,82.801,82.965,82.796,82.906
2023-01-02 07:30:00,82.784,82.784,82.784,82.784
2023-01-02 07:45:00,82.895,82.895,82.895,82.895
2023-01-02 08:00:00,82.961,82.961,82.916,82.916
2023-01-02 08:15:00,82.933,82.933,82.933,82.933
2023-01-02 08:45:00,82.906,82.957,82.906,82.957
2023-01-02 09:00:00,82.719,82.957,82.703,82.94
2023-01-02 09:15:00,82.786,82.971,82.786,82.962
2023-01-02 09:30:00,82.973,82.989,82.796,82.943
2023-01-02 09:45:00,82.984,82.984,82.782,82.923
2023-01-02 10:00:00,82.887,82.909,82.786,82.786
2023-01-02 10:15:00,82.79,82.856,82.786,82.805
2023-01-02 10:30:00,82.81,82.87,82.8,82.843
2023-01-02 10:45:00,82.86,82.881,82.817,82.834
2023-01-02 11:00:00,82.84,82.874,82.805,82.836
2023-01-02 11:15:00,82.835,82.85,82.803,82.818
2023-01-02 11:30:00,82.818,82.827,82.777,82.786
2023-01-02 11:45:00,82.786,82.805,82.777,82.789
2023-01-02 12:00:00,82.798,82.819,82.736,82.745
2023-01-02 12:15:00,82.743,82.753,82.719,82.724
2023-01-02 12:30:00,82.728,82.738,82.718,82.724
2023-01-02 12:45:00,82.722,82.762,82.718,82.757
2023-01-02 13:00:00,82.755,82.84,82.74,82.783
2023-01-02 13:15:00,82.783,82.806,82.741,82.778
2023-01-02 13:30:00,82.782,82.798,82.738,82.772
2023-01-02 13:45:00,82.772,82.798,82.736,82.748
2023-01-02 14:00:00,82.747,82.758,82.685,82.702
2023-01-02 14:15:00,82.703,82.746,82.693,82.734
2023-01-02 14:30:00,82.733,82.745,82.703,82.708
2023-01-02 14:45:00,82.708,82.734,82.705,82.724
2023-01-02 15:00:00,82.726,82.728,82.666,82.683
2023-01-02 15:15:00,82.681,82.702,82.637,82.685
2023-01-02 15:30:00,82.673,82.691,82.639,82.639
2023-01-02 15:45:00,82.639,82.682,82.636,82.649
2023-01-02 16:00:00,82.65,82.806,82.631,82.789
2023-01-02 16:15:00,82.789,82.837,82.786,82.823
2023-01-02 16:30:00,82.825,82.853,82.817,82.84
2023-01-02 16:45:00,82.832,82.864,82.801,82.837
2023-01-02 17:00:00,82.836,82.854,82.598,82.645
2023-01-02 17:15:00,82.606,82.791,82.599,82.696
2023-01-02 17:30:00,82.703,82.718,82.668,82.674
2023-01-02 17:45:00,82.675,82.699,82.662,82.668
2023-01-02 18:00:00,82.676,82.695,82.588,82.666
2023-01-02 18:15:00,82.663,82.668,82.601,82.64
2023-01-02 18:30:00,82.64,82.642,82.615,82.618
2023-01-02 18:45:00,82.623,82.626,82.555,82.609
2023-01-02 19:00:00,82.608,82.639,82.574,82.574
2023-01-02 19:15:00,82.574,82.642,82.574,82.631
2023-01-02 19:30:00,82.631,82.658,82.626,82.654
2023-01-02 19:45:00,82.656,82.663,82.586,82.616
2023-01-02 20:00:00,82.822,82.834,82.582,82.609
2023-01-02 20:15:00,82.609,82.834,82.609,82.806
2023-01-02 20:30:00,82.804,82.825,82.793,82.807
2023-01-02 20:45:00,82.792,82.823,82.785,82.803
2023-01-02 21:00:00,82.805,82.806,82.622,82.806
2023-01-02 21:15:00,82.626,82.844,82.626,82.806
2023-01-02 21:30:00,82.806,82.808,82.58,82.597
2023-01-02 21:45:00,82.603,82.868,82.554,82.576
2023-01-02 22:00:00,82.575,82.789,82.498,82.577
2023-01-02 22:15:00,82.58,82.774,82.541,82.559
