time,open,high,low,close
2024-04-25,38370.78,38423.28,37732.38,38134.03
2024-04-26,38173.28,38327.13,38035.88,38221.78
2024-04-29,38293.37,38405.47,38204.97,38371.37
2024-04-30,38383.86,38389.46,37745.61,37787.11
2024-05-01,37806.79,38350.64,37692.39,37950.04
2024-05-02,37971.13,38471.38,37870.98,38463.63
2024-05-03,38468.13,38795.12,38422.12,38669.02
2024-05-06,38769.9,38884.0,38691.25,38847.15
2024-05-07,38843.9,38990.36,38839.01,38873.26
2024-05-08,38882.87,39104.97,38804.97,39066.87
2024-05-09,39044.65,39454.15,38949.5,39427.9
2024-05-10,39425.87,39585.22,39399.72,39503.37
2024-05-13,39502.79,39666.39,39406.39,39439.04
2024-05-14,39436.9,39629.25,39300.0,39576.4
2024-05-15,39560.59,39958.19,39546.44,39926.09
2024-05-16,39894.7,40056.05,39844.2,39858.2
2024-05-17,39882.57,40016.07,39827.17,40010.82
2024-05-20,40044.11,40095.71,39802.11,39826.36
2024-05-21,39826.36,39921.82,39796.82,39883.47
2024-05-22,39883.84,39926.34,39565.19,39617.34
2024-05-23,39634.36,39779.71,39012.46,39038.11
2024-05-24,39056.48,39218.33,39010.83,39057.48
2024-05-27,39078.75,39140.1,39017.5,39138.85
2024-05-28,39140.12,39147.22,38716.97,38849.12
2024-05-29,38846.48,38848.23,38156.48,38177.73
2024-05-30,38173.51,38221.61,38019.61,38111.76
2024-05-31,38120.28,38722.28,38049.88,38706.53
2024-06-03,38755.22,38835.22,38250.57,38574.72
2024-06-04,38579.33,38801.43,38347.18,38725.08
2024-06-05,38732.18,38865.78,38558.28,38806.43
2024-06-06,38794.08,39026.93,38745.18,38898.58
2024-06-07,38914.52,39115.87,38658.12,38800.52
2024-06-10,38786.96,38898.31,38674.31,38857.21
2024-06-11,38864.63,38891.73,38442.48,38732.63
2024-06-12,38738.31,39158.41,38625.91,38711.81
2024-06-13,38703.98,38735.33,38409.33,38619.98
2024-06-14,38611.98,38649.98,38282.08,38584.48
2024-06-17,38558.4,38858.75,38426.25,38816.9
2024-06-18,38830.0,38959.35,38741.35,38858.75
2024-06-19,38851.83,38882.58,38783.68,38800.18
2024-06-20,38823.19,39269.54,38777.69,39147.69
2024-06-21,39176.29,39275.14,39065.14,39153.29
2024-06-24,39199.95,39607.55,39072.7,39467.7
2024-06-25,39474.82,39543.32,39010.17,39108.32
2024-06-26,39089.93,39207.78,38928.03,39106.93
2024-06-27,39096.51,39275.36,39017.76,39152.51
2024-06-28,39130.36,39453.46,38920.46,39120.86
2024-07-01,39175.01,39457.36,39040.36,39148.76
2024-07-02,39156.14,39355.14,38999.74,39315.64
2024-07-03,39320.18,39431.28,39237.03,39304.53
2024-07-04,39322.59,39455.44,39297.94,39353.19
2024-07-05,39346.43,39397.53,39155.78,39362.18
2024-07-08,39318.45,39690.05,39278.55,39356.2
2024-07-09,39354.2,39505.55,39139.55,39285.95
2024-07-10,39285.95,39754.45,39248.45,39701.45
2024-07-11,39701.79,39896.39,39634.14,39804.29
2024-07-12,39804.54,40275.51,39727.76,40029.16
2024-07-15,40084.83,40376.43,40061.08,40268.83
2024-07-16,40283.7,41029.05,40187.3,40989.7
2024-07-17,41008.82,41281.07,40832.17,41280.32
2024-07-18,41275.42,41414.77,40629.27,40715.42
2024-07-19,40719.93,40748.93,40210.28,40308.43
2024-07-22,40341.89,40499.99,40243.24,40439.64
2024-07-23,40450.51,40556.36,40328.26,40361.76
2024-07-24,40296.65,40335.9,39820.25,39961.9
2024-07-25,39980.01,40458.36,39828.61,40017.26
2024-07-26,40034.64,40774.49,40012.14,40615.64
2024-07-29,40702.56,40850.16,40407.41,40568.06
2024-07-30,40588.43,40901.78,40455.68,40581.18
2024-07-31,40588.59,41238.69,40566.34,40893.84
2024-08-01,40913.46,41124.56,40105.31,40249.96
2024-08-02,40247.96,40275.54,39344.14,39700.54
2024-08-05,39464.39,39594.64,38387.74,38854.49
2024-08-06,38878.53,39452.63,38614.13,38904.53
2024-08-07,38887.12,39475.97,38612.87,38640.37
2024-08-08,38725.0,39526.5,38554.75,39484.5
2024-08-09,39464.25,39627.85,39213.35,39489.0
2024-08-12,39508.62,39614.97,39243.72,39365.37
2024-08-13,39387.01,39806.11,39227.86,39754.01
2024-08-14,39771.14,40080.99,39679.49,40058.14
2024-08-15,40052.35,40613.35,40005.35,40592.35
2024-08-16,40566.26,40730.86,40421.36,40665.01
2024-08-19,40697.02,40935.87,40625.12,40868.27
2024-08-20,40920.43,40974.78,40767.03,40855.68
2024-08-21,40862.82,40994.67,40748.67,40909.82
2024-08-22,40920.21,41059.56,40589.31,40745.46
2024-08-23,40761.61,41216.96,40757.36,41169.11
2024-08-26,41206.06,41448.41,41155.41,41228.56
2024-08-27,41219.53,41315.13,41108.63,41272.03
2024-08-28,41288.15,41382.5,40852.0,41188.9
2024-08-29,41172.74,41604.84,41075.74,41405.99
2024-08-30,41393.82,41579.82,41137.67,41537.82
2024-09-02,41549.2,41578.05,41434.8,41559.8
2024-09-03,41555.93,41559.18,40786.03,40950.18
2024-09-04,40941.32,41186.17,40777.92,40955.32
2024-09-05,40955.93,41101.03,40525.28,40804.18
2024-09-06,40820.31,41017.41,40284.91,40349.16
2024-09-09,40314.09,41022.69,40296.09,40855.59
2024-09-10,40853.55,40946.65,40421.15,40757.3
